,Error,Feature,Value
0,contrast,alt,1.7892986107405233
1,contrast,alt_area,0.01823291886795809
2,contrast,alt_input,0.02983083408933241
3,contrast,alt_link,6.05245744169913
4,contrast,alt_map,0.030471209776402157
5,contrast,alt_null,2.9695643666506575
6,contrast,alt_spacer,0.28025330416066313
7,contrast,fieldset,0.03136062045288791
8,contrast,label,0.7670633438283793
9,contrast,lang,0.4793923546258249
10,contrast,link_skip,0.09114680612626073
11,contrast,link_skip_target,0.09283668641158369
12,contrast,longdesc,0.009267659248981625
13,alt_area_missing,alt,3.4015884249429895
14,alt_area_missing,alt_area,0.20987654320987653
15,alt_area_missing,alt_input,0.08138711960368011
16,alt_area_missing,alt_link,12.140835102618542
17,alt_area_missing,alt_map,0.6333254698435166
18,alt_area_missing,alt_null,5.99425965243375
19,alt_area_missing,alt_spacer,0.8256664307619722
20,alt_area_missing,fieldset,0.046866399308012896
21,alt_area_missing,label,1.0941259731068649
22,alt_area_missing,lang,0.37799795549264764
23,alt_area_missing,link_skip,0.04859636706770465
24,alt_area_missing,link_skip_target,0.048910906660375876
25,alt_area_missing,longdesc,0.026657230478886528
26,alt_input_missing,alt,3.8563197878957833
27,alt_input_missing,alt_area,0.03992250038239943
28,alt_input_missing,alt_input,0.138326620098914
29,alt_input_missing,alt_link,15.927293121908939
30,alt_input_missing,alt_map,0.07311477081527558
31,alt_input_missing,alt_null,7.937847346147963
32,alt_input_missing,alt_spacer,0.8585122112884311
33,alt_input_missing,fieldset,0.028909396828634068
34,alt_input_missing,label,0.8523938204252282
35,alt_input_missing,lang,0.5857339519706317
36,alt_input_missing,link_skip,0.03757711721817162
37,alt_input_missing,link_skip_target,0.037067251312904705
38,alt_input_missing,longdesc,0.019425890990669454
39,alt_link_missing,alt,3.4480614937744636
40,alt_link_missing,alt_area,0.021590124156497404
41,alt_link_missing,alt_input,0.04536759887355874
42,alt_link_missing,alt_link,11.782885531605887
43,alt_link_missing,alt_map,0.03564407289987779
44,alt_link_missing,alt_null,4.257106675404262
45,alt_link_missing,alt_spacer,0.34632755353252687
46,alt_link_missing,fieldset,0.051522289722109066
47,alt_link_missing,label,1.3472042648908096
48,alt_link_missing,lang,0.4662776075521156
49,alt_link_missing,link_skip,0.0870335275677016
50,alt_link_missing,link_skip_target,0.08941570287455057
51,alt_link_missing,longdesc,0.011662917766245727
52,alt_map_missing,alt,2.176230521889686
53,alt_map_missing,alt_area,0.3238931486519911
54,alt_map_missing,alt_input,0.09782339846648529
55,alt_map_missing,alt_link,10.666460549097206
56,alt_map_missing,alt_map,0.12602028196883502
57,alt_map_missing,alt_null,3.728914172644076
58,alt_map_missing,alt_spacer,0.5562700964630225
59,alt_map_missing,fieldset,0.04513974771209498
60,alt_map_missing,label,0.6025228790502103
61,alt_map_missing,lang,0.4807073954983923
62,alt_map_missing,link_skip,0.027331189710610933
63,alt_map_missing,link_skip_target,0.026836507543903043
64,alt_map_missing,longdesc,0.023126391293593868
65,alt_missing,alt,3.501884571955661
66,alt_missing,alt_area,0.01754957935081665
67,alt_missing,alt_input,0.03843095469075526
68,alt_missing,alt_link,12.67125749455303
69,alt_missing,alt_map,0.03984637160260182
70,alt_missing,alt_null,4.3979945609822035
71,alt_missing,alt_spacer,0.459334595015824
72,alt_missing,fieldset,0.051384404968272394
73,alt_missing,label,1.4193689467071677
74,alt_missing,lang,0.4863388412665596
75,alt_missing,link_skip,0.07778431590833187
76,alt_missing,link_skip_target,0.0796052736207637
77,alt_missing,longdesc,0.013518026686175034
78,alt_spacer_missing,alt,5.062168192659844
79,alt_spacer_missing,alt_area,0.036585365853658534
80,alt_spacer_missing,alt_input,0.05393552358236516
81,alt_spacer_missing,alt_link,17.638916673078402
82,alt_spacer_missing,alt_map,0.06951604216357621
83,alt_spacer_missing,alt_null,6.681580364699546
84,alt_spacer_missing,alt_spacer,1.4754943448488114
85,alt_spacer_missing,fieldset,0.07736400707855659
86,alt_spacer_missing,label,2.0349696083711626
87,alt_spacer_missing,lang,0.507193967838732
88,alt_spacer_missing,link_skip,0.06386089097484035
89,alt_spacer_missing,link_skip_target,0.06597676386858506
90,alt_spacer_missing,longdesc,0.00965607447872586
91,aria_reference_broken,alt,5.374704706523715
92,aria_reference_broken,alt_area,0.013568356653946333
93,aria_reference_broken,alt_input,0.01689987279665637
94,aria_reference_broken,alt_link,13.39984251014598
95,aria_reference_broken,alt_map,0.04118965412805137
96,aria_reference_broken,alt_null,8.213277606154218
97,aria_reference_broken,alt_spacer,0.5092979586891998
98,aria_reference_broken,fieldset,0.11678478405718093
99,aria_reference_broken,label,3.368829123508389
100,aria_reference_broken,lang,1.06875037858138
101,aria_reference_broken,link_skip,0.12223635592707008
102,aria_reference_broken,link_skip_target,0.12653704040220487
103,aria_reference_broken,longdesc,0.006602459264643528
104,blink,alt,4.916666666666667
105,blink,alt_area,0.06770833333333333
106,blink,alt_input,0.11197916666666667
107,blink,alt_link,9.984375
108,blink,alt_map,0.0625
109,blink,alt_null,7.0078125
110,blink,alt_spacer,0.5520833333333334
111,blink,fieldset,0.0390625
112,blink,label,0.4713541666666667
113,blink,lang,7.109375
114,blink,link_skip,0.041666666666666664
115,blink,link_skip_target,0.0390625
116,blink,longdesc,0.013020833333333334
117,button_empty,alt,3.890815080205195
118,button_empty,alt_area,0.017474147056428628
119,button_empty,alt_input,0.019949515511766144
120,button_empty,alt_link,16.20429932415927
121,button_empty,alt_map,0.03641397280351763
122,button_empty,alt_null,5.72617050728768
123,button_empty,alt_spacer,0.38562006351274325
124,button_empty,fieldset,0.05929484569660451
125,button_empty,label,1.8818255842358114
126,button_empty,lang,0.3637733083625112
127,button_empty,link_skip,0.07782753847406564
128,button_empty,link_skip_target,0.08321797899193877
129,button_empty,longdesc,0.008769644165784546
130,heading_empty,alt,3.6822153876196055
131,heading_empty,alt_area,0.013632591290763522
132,heading_empty,alt_input,0.040433997266158955
133,heading_empty,alt_link,13.10510642452646
134,heading_empty,alt_map,0.04440050771333724
135,heading_empty,alt_null,4.967071860964655
136,heading_empty,alt_spacer,0.40988088264010936
137,heading_empty,fieldset,0.08123413395821129
138,heading_empty,label,2.286565123999219
139,heading_empty,lang,0.4264547939855497
140,heading_empty,link_skip,0.12371851200937317
141,heading_empty,link_skip_target,0.1258787346221441
142,heading_empty,longdesc,0.014450302675258738
143,label_empty,alt,4.344806517311609
144,label_empty,alt_area,0.02396469789545146
145,label_empty,alt_input,0.044670739986422264
146,label_empty,alt_link,13.82868295994569
147,label_empty,alt_map,0.03340122199592668
148,label_empty,alt_null,5.555838424983028
149,label_empty,alt_spacer,0.42498302783435166
150,label_empty,fieldset,0.1020366598778004
151,label_empty,label,3.475797691785472
152,label_empty,lang,0.4116089613034623
153,label_empty,link_skip,0.09097080787508487
154,label_empty,link_skip_target,0.091683638832315
155,label_empty,longdesc,0.012525458248472504
156,label_missing,alt,3.3805058295623795
157,label_missing,alt_area,0.016079915758317444
158,label_missing,alt_input,0.0500801624118925
159,label_missing,alt_link,14.221447477018527
160,label_missing,alt_map,0.03973494227357676
161,label_missing,alt_null,4.446756031154244
162,label_missing,alt_spacer,0.4014808701179194
163,label_missing,fieldset,0.04576372484845035
164,label_missing,label,1.0118820616444204
165,label_missing,lang,0.4427526538976008
166,label_missing,link_skip,0.07593609775070913
167,label_missing,link_skip_target,0.07721679900579635
168,label_missing,longdesc,0.012285245372873798
169,label_multiple,alt,5.285956006768189
170,label_multiple,alt_area,0.027314479091128836
171,label_multiple,alt_input,0.027797921198936426
172,label_multiple,alt_link,14.685279187817258
173,label_multiple,alt_map,0.047498187092095724
174,label_multiple,alt_null,5.890379502054629
175,label_multiple,alt_spacer,0.6288373217307227
176,label_multiple,fieldset,0.16195310611554267
177,label_multiple,label,6.569615663524293
178,label_multiple,lang,0.34783659656756105
179,label_multiple,link_skip,0.11022480058013052
180,label_multiple,link_skip_target,0.11360889533478366
181,label_multiple,longdesc,0.0062847474014986705
182,language_missing,alt,2.527773724846495
183,language_missing,alt_area,0.024533406286096418
184,language_missing,alt_input,0.04747705027661256
185,language_missing,alt_link,9.960246823515106
186,language_missing,alt_map,0.06120128883214785
187,language_missing,alt_null,3.007264879323971
188,language_missing,alt_spacer,0.5127180983646422
189,language_missing,fieldset,0.02643017812632987
190,language_missing,label,0.8279804243419053
191,language_missing,lang,0.4471001276673354
192,language_missing,link_skip,0.022068210833485317
193,language_missing,link_skip_target,0.023065231928992645
194,language_missing,longdesc,0.01587938476503131
195,link_empty,alt,3.376614575027906
196,link_empty,alt_area,0.02191636102694945
197,link_empty,alt_input,0.043593525753468344
198,link_empty,alt_link,11.740212884707383
199,link_empty,alt_map,0.04039427523520969
200,link_empty,alt_null,4.031045686493382
201,link_empty,alt_spacer,0.3975841173656514
202,link_empty,fieldset,0.04375298995375538
203,link_empty,label,1.4631737362462127
204,link_empty,lang,0.6555672938925211
205,link_empty,link_skip,0.1104987242863977
206,link_empty,link_skip_target,0.11091731781215117
207,link_empty,longdesc,0.013444825386700686
208,link_skip_broken,alt,3.4023971167546727
209,link_skip_broken,alt_area,0.010225463079373063
210,link_skip_broken,alt_input,0.03553767496437851
211,link_skip_broken,alt_link,10.92221942837985
212,link_skip_broken,alt_map,0.05121113066800771
213,link_skip_broken,alt_null,5.331154136283631
214,link_skip_broken,alt_spacer,0.44380186069901933
215,link_skip_broken,fieldset,0.09672282289833208
216,link_skip_broken,label,2.4272902522839663
217,link_skip_broken,lang,0.2462492666163775
218,link_skip_broken,link_skip,0.13167379096471377
219,link_skip_broken,link_skip_target,0.30315983572206856
220,link_skip_broken,longdesc,0.011650322688793898
221,longdesc_invalid,alt,3.9804511278195487
222,longdesc_invalid,alt_area,0.058646616541353384
223,longdesc_invalid,alt_input,0.1293233082706767
224,longdesc_invalid,alt_link,14.030075187969924
225,longdesc_invalid,alt_map,0.12481203007518797
226,longdesc_invalid,alt_null,4.204511278195489
227,longdesc_invalid,alt_spacer,0.5263157894736842
228,longdesc_invalid,fieldset,0.039097744360902256
229,longdesc_invalid,label,0.7157894736842105
230,longdesc_invalid,lang,2.4120300751879697
231,longdesc_invalid,link_skip,0.09172932330827067
232,longdesc_invalid,link_skip_target,0.081203007518797
233,longdesc_invalid,longdesc,1.3353383458646617
234,marquee,alt,3.461514360313316
235,marquee,alt_area,0.018798955613577025
236,marquee,alt_input,0.06537859007832898
237,marquee,alt_link,15.79780678851175
238,marquee,alt_map,0.04240208877284595
239,marquee,alt_null,4.8502349869451695
240,marquee,alt_spacer,0.5499738903394256
241,marquee,fieldset,0.031122715404699738
242,marquee,label,0.5125848563968668
243,marquee,lang,0.7561357702349869
244,marquee,link_skip,0.03091383812010444
245,marquee,link_skip_target,0.03164490861618799
246,marquee,longdesc,0.03718015665796345
247,meta_refresh,alt,4.2778644479112495
248,meta_refresh,alt_area,0.023054255503553476
249,meta_refresh,alt_input,0.037961518460738426
250,meta_refresh,alt_link,29.494539781591264
251,meta_refresh,alt_map,0.03865487952851447
252,meta_refresh,alt_null,5.630785231409257
253,meta_refresh,alt_spacer,0.6117178020454151
254,meta_refresh,fieldset,0.053215461951811406
255,meta_refresh,label,1.188247529901196
256,meta_refresh,lang,0.47096550528687814
257,meta_refresh,link_skip,0.020974172300225344
258,meta_refresh,link_skip_target,0.02080083203328133
259,meta_refresh,longdesc,0.022534234702721444
260,server_image_map,alt,
261,server_image_map,alt_area,
262,server_image_map,alt_input,
263,server_image_map,alt_link,
264,server_image_map,alt_map,
265,server_image_map,alt_null,
266,server_image_map,alt_spacer,
267,server_image_map,fieldset,
268,server_image_map,label,
269,server_image_map,lang,
270,server_image_map,link_skip,
271,server_image_map,link_skip_target,
272,server_image_map,longdesc,
273,th_empty,alt,6.588832487309645
274,th_empty,alt_area,0.0450507614213198
275,th_empty,alt_input,0.05805837563451777
276,th_empty,alt_link,15.391497461928934
277,th_empty,alt_map,0.07772842639593909
278,th_empty,alt_null,10.561230964467006
279,th_empty,alt_spacer,0.7560279187817259
280,th_empty,fieldset,0.08629441624365482
281,th_empty,label,3.8746827411167515
282,th_empty,lang,0.38451776649746194
283,th_empty,link_skip,0.07487309644670051
284,th_empty,link_skip_target,0.07804568527918782
285,th_empty,longdesc,0.05298223350253807
286,title_invalid,alt,0.925829908314891
287,title_invalid,alt_area,0.0030983243755927916
288,title_invalid,alt_input,0.017009168510907367
289,title_invalid,alt_link,3.1504268099905155
290,title_invalid,alt_map,0.011318368637369586
291,title_invalid,alt_null,1.5529560543787544
292,title_invalid,alt_spacer,0.12443882390135946
293,title_invalid,fieldset,0.010496364211191907
294,title_invalid,label,0.3919696490673411
295,title_invalid,lang,0.1525766677205185
296,title_invalid,link_skip,0.04596901675624407
297,title_invalid,link_skip_target,0.0466645589630098
298,title_invalid,longdesc,0.001833702181473285
